Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5102404178,JRuppe,0,480,G Hideki Matsuyama G Maverick McNealy G Ryo Hisatsune G Nick Taylor G Brian Harman G Tony Finau,,Ryo Hisatsune,G,50.00%,100
2,5102800683,Freeannyong,0,477,G Jordan Spieth G Maverick McNealy G Ryo Hisatsune G Sudarshan Yellamaraju G Rico Hoey G Tony Finau,,Keith Mitchell,G,44.44%,31.5
3,5102651253,Jason.Elliott,0,469,G Ludvig Aberg G Maverick McNealy G Keith Mitchell G Sudarshan Yellamaraju G Alex Smalley G Bronson Burgoon,,Sudarshan Yellamaraju,G,44.44%,92.5
4,5101408582,Derek05,0,442,G Ludvig Aberg G Robert MacIntyre G Keith Mitchell G Sudarshan Yellamaraju G Bronson Burgoon G Carson Young,,Hideki Matsuyama,G,33.33%,77
5,5103030091,slewis0060,0,405.5,G Hideki Matsuyama G Keith Mitchell G Ryo Hisatsune G Sudarshan Yellamaraju G Thorbjorn Olesen G Jordan L. Smith,,Patrick Rodgers,G,33.33%,14.5
6,5100815534,miller1017,0,401,G Si Woo Kim G Michael Thorbjornsen G Ryo Hisatsune G Sudarshan Yellamaraju G John Keefer G Chad Ramey,,Tony Finau,G,27.78%,79.5
7,5103082772,oneputtralphie,0,382.5,G Tommy Fleetwood G Jordan Spieth G Marco Penge G Davis Thompson G Patrick Rodgers G Bud Cauley,,Jordan L. Smith,G,22.22%,30
8,5102943713,fer21gie,0,375.5,G Sepp Straka G Alex Noren G Ryo Hisatsune G Denny McCarthy G Brian Harman G Bud Cauley,,Jordan Spieth,G,22.22%,50
9,5102915687,Johns59,0,373.5,G Jordan Spieth G Keith Mitchell G Ryo Hisatsune G Sudarshan Yellamaraju G Marco Penge G Patrick Rodgers,,Michael Thorbjornsen,G,22.22%,27
10,5100805815,btweed1683,0,360.5,G Si Woo Kim G Jordan Spieth G Michael Thorbjornsen G Sudarshan Yellamaraju G Stephan Jaeger G Karl Vilips,,Denny McCarthy,G,22.22%,34
11,5102920527,budman4423,0,353.5,G Hideki Matsuyama G Maverick McNealy G Rickie Fowler G Nick Taylor G Patrick Rodgers G Tony Finau,,Maverick McNealy,G,22.22%,82
12,5102710576,mkpoe,0,350,G Ludvig Aberg G Sepp Straka G Rickie Fowler G Stephan Jaeger G Tony Finau G Hao-Tong Li,,Sepp Straka,G,22.22%,29
13,5101311339,L-J_Ruppe,0,341,G Tommy Fleetwood G Ryo Hisatsune G Denny McCarthy G John Keefer G Davis Thompson G Patrick Rodgers,,Ludvig Aberg,G,16.67%,100.5
14,5101410689,leonardslossers,0,315,G Michael Thorbjornsen G Keith Mitchell G Ryo Hisatsune G Denny McCarthy G Sudarshan Yellamaraju G Jordan L. Smith,,Rickie Fowler,G,16.67%,28
15,5103031297,fertown,0,306,G Hideki Matsuyama G Sepp Straka G Keith Mitchell G Ryo Hisatsune G Tom Kim G Max Homa,,Russell Henley,G,11.11%,26.5
16,5102421401,Mattyf0422,0,271,G Russell Henley G Michael Thorbjornsen G Keith Mitchell G Denny McCarthy G Tony Finau G David Ford,,Tom Kim,G,11.11%,37.5
17,5102919884,Werm-1,0,250,G Hideki Matsuyama G Sepp Straka G Rickie Fowler G Jordan L. Smith G Patrick Rodgers G Matthew McCarty,,Si Woo Kim,G,11.11%,82.5
18,5100731786,mtlomax,0,217,G Russell Henley G Hideki Matsuyama G Keith Mitchell G Jordan L. Smith G Patrick Rodgers G Tom Kim,,Stephan Jaeger,G,11.11%,73.5
,,,,,,,John Keefer,G,11.11%,29.5
,,,,,,,Tommy Fleetwood,G,11.11%,79.5
,,,,,,,Davis Thompson,G,11.11%,83.5
,,,,,,,Bronson Burgoon,G,11.11%,76
,,,,,,,Nick Taylor,G,11.11%,72.5
,,,,,,,Brian Harman,G,11.11%,69
,,,,,,,Marco Penge,G,11.11%,85
,,,,,,,Bud Cauley,G,11.11%,70
,,,,,,,Karl Vilips,G,5.56%,35
,,,,,,,Chad Ramey,G,5.56%,69.5
,,,,,,,Robert MacIntyre,G,5.56%,114.5
,,,,,,,Carson Young,G,5.56%,27
,,,,,,,David Ford,G,5.56%,72.5
,,,,,,,Alex Smalley,G,5.56%,86.5
,,,,,,,Hao-Tong Li,G,5.56%,39.5
,,,,,,,Rico Hoey,G,5.56%,73
,,,,,,,Matthew McCarty,G,5.56%,71.5
,,,,,,,Alex Noren,G,5.56%,73.5
,,,,,,,Thorbjorn Olesen,G,5.56%,74.5
,,,,,,,Max Homa,G,5.56%,31
